,HODBIN2,DATE,station_id,WEEKDAY,LAT,LON,ENTRIES_diff_sum,EXITS_diff_sum
53,0,10/15/2019,5 AV/53 ST-EM,Tuesday,40.760179,-73.975196,680.0,153.0
54,0,10/15/2019,5 AV/59 ST-NQRW,Tuesday,40.764909,-73.973372,550.0,183.0
55,0,10/15/2019,5 AVE-7BDFM,Tuesday,40.753824,-73.981966,1444.0,297.0
56,0,10/15/2019,50 ST-1,Tuesday,40.761675,-73.983908,3098.0,1530.0
57,0,10/15/2019,50 ST-CE,Tuesday,40.762439,-73.985989,2821.0,1480.0
58,0,10/15/2019,50 ST-D,Tuesday,40.636232,-73.994765,150.0,258.0
59,0,10/15/2019,51 ST-6,Tuesday,40.757108,-73.97187,1813.0,945.0
60,0,10/15/2019,57 ST-7 AV-NQRW,Tuesday,40.764755,-73.980646,4159.0,1189.0
61,0,10/15/2019,57 ST-F,Tuesday,40.763625,-73.977449,1624.0,510.0
62,0,10/15/2019,59 ST COLUMBUS-1ABCD,Tuesday,40.76811,-73.981891,8031.0,3570.0
63,0,10/15/2019,59 ST-456NQRW,Tuesday,40.762796,-73.967686,5170.0,1818.0
64,0,10/15/2019,59 ST-NRW,Tuesday,40.641426,-74.017972,464.0,916.0
65,0,10/15/2019,7 AV-BDE,Tuesday,40.762877,-73.98159,1691.0,856.0
66,0,10/15/2019,7 AV-BQ,Tuesday,40.677172,-73.972514,369.0,765.0
67,0,10/15/2019,7 AV-FG,Tuesday,40.666276,-73.980324,426.0,618.0
68,0,10/15/2019,GRD CNTRL-42 ST-4567S,Tuesday,40.751849,-73.976945,9398.0,4858.0
69,0,10/15/2019,LEXINGTON AV/53-6EM,Tuesday,40.757529999999996,-73.969102,3323.0,1814.0
70,0,10/15/2019,TIMES SQ-42 ST-1237ACENQRS,Tuesday,40.755905,-73.98650400000001,3800.0,456.0
71,0,10/15/2019,TIMES SQ-42 ST-1237ACENQRSW,Tuesday,40.755905,-73.98650400000001,10565.0,6030.0
72,0,10/16/2019,42 ST-BRYANT PK-7BDFM,Wednesday,40.754197999999995,-73.984573,8271.0,3466.0
73,0,10/16/2019,42 ST-PORT AUTH-1237ACEGNRSW,Wednesday,40.757303,-73.98978699999999,2024.0,560.0
