,DATE,station_id,LAT,LON,ENTRIES_diff_sum,EXITS_diff_sum
69,10/12/2019,23 ST-6,40.740088,-73.986429,47552.0,42668.0
70,10/12/2019,23 ST-CE,40.745924,-73.998005,37266.0,27534.0
71,10/12/2019,23 ST-FM,40.742868,-73.99277,9026.0,6386.0
72,10/12/2019,23 ST-FM,40.742981,-73.992727,4439.0,6898.0
73,10/12/2019,23 ST-NRW,40.741006,-73.989315,8080.0,6564.0
74,10/12/2019,231 ST-1,40.878867,-73.90485799999999,5376.0,778.0
75,10/12/2019,233 ST-25,40.893386,-73.857265,2504.0,836.0
76,10/12/2019,238 ST-1,40.884821,-73.900759,2465.0,245.0
77,10/12/2019,25 AV-D,40.597873,-73.98695500000001,2677.0,487.0
78,10/12/2019,25 ST-R,40.66043,-73.99794399999999,407.0,1175.0
79,10/12/2019,25 ST-R,40.660481,-73.998059,1616.0,510.0
80,10/12/2019,28 ST-1,40.747223999999996,-73.99336,14230.0,8936.0
81,10/12/2019,28 ST-6,40.743095000000004,-73.984251,25362.0,26520.0
82,10/12/2019,28 ST-NRW,40.745574,-73.988682,5378.0,9706.0
83,10/12/2019,3 AV 138 ST-6,40.810512,-73.926165,2457.0,745.0
84,10/12/2019,3 AV-149 ST-25,40.816132,-73.917754,22228.0,9418.0
85,10/12/2019,3 AV-L,40.733243,-73.987169,4210.0,4108.0
86,10/12/2019,30 AV-NQW,40.766843,-73.921423,9049.0,4156.0
87,10/12/2019,33 ST-6,40.746119,-73.981826,43528.0,41948.0
88,10/12/2019,33 ST-RAWSON ST-7,40.744558000000005,-73.930993,6272.0,5848.0
89,10/12/2019,34 ST-HERALD SQ-BDFMNQRW,40.749533,-73.987899,142558.0,172030.0
90,10/12/2019,34 ST-PENN STA-123,40.750329,-73.991096,55656.0,66968.0
91,10/12/2019,34 ST-PENN STA-123ACE,40.750264,-73.99298399999999,51750.0,42246.0
92,10/12/2019,34 ST-PENN STA-ACE,40.752247,-73.99345600000001,168672.0,175682.0
